name,zone
Vélez,A
Newell's,A
Defensa y Justicia,A
Gimnasia (Mza),A
Boca,A
Central Córdoba,A
River,A
Atlético Tucumán,A
Instituto,A
Unión,A
Estudiantes (RC),A
Argentinos Juniors,B
Sarmiento,B
Gimnasia (LP),B
Independiente,B
San Lorenzo,B
Racing,B
Huracán,B
Belgrano,B
Tigre,B
Rosario Central,B
Barracas Central,B
Banfield,B
Lanús,B
Deportivo Riestra,B
